eng;meaning;ir;score
think;keep in mind;cuimhnigh ar;0
throw;cast, launch;caith;0
throw;rad;rad;0
throw;hurl yourself;caith;0
throw;aim punch;tarraing;0
throw;erect;cuir;0
throw;project voice;caith;0
throw;project voice;teilg;0
throw;discard;caith;0
throw;put carelessly;caith;0
throw;roll number;caith;0
throw;in martial arts etc;leag;0
throw;in martial arts etc;teilg;0
throw;disconcert, confuse;cuir trí chéile;0
throw;pay out money;caith;0
throw;organise party;eagraigh;0
throw;make pot;déan;0
throw;give birth to;beir;0
tick;clock, meter etc;ticeáil;0
tick;mark;ticeáil;0
tick;mark;tic a chur;0
tick;check;ticeáil;0
tick;check;cuir tic le;0
travel;go on journey;taistil;0
travel;from one place to another;taistil;0
travel;object, energy;gluais;0
travel;object, energy;taistil;0
travel;well, badly, etc;taistil;0
travel;information;taistil;0
travel;in basketball;taistil;0
travel;in path, direction;taistil;0
travel;in path, direction;gluais;0
try;attempt;iarracht a dhéanamh;0
try;attempt;triail;0
try;attempt;triail a bhaint as;0
try;attempt;tabhair faoi;0
try;test out;triail;0
try;test out;triail a bhaint as;0
try;sample;blais;0
try;sample;triail;0
try;consult for information;féach;0
try;consult for information;téigh go dtí;0
try;shop etc for sth;triail a bhaint as;0
try;shop etc for sth;triail;0
try;case, person;éist;0
try;case, person;triail;0
try;case, person;cuir faoi thriail;0
understand;comprehend;tuig;0
understand;realise;tuig;0
understand;empathise;tuig;0
understand;empathise;tuig do;0
understand;imply;cuir i gcéill;0
use;employ;úsáid;0
use;employ;úsáid a bhaint as;0
use;avail yourself of sth;úsáid;0
use;avail yourself of sth;úsáid a bhaint as;0
use;employ sth for a purpose;úsáid;0
use;employ sth for a purpose;úsáid a bhaint as;0
use;employ word, name, etc;úsáid;0
use;employ word, name, etc;úsáid a bhaint as;0
use;consume, spend;ídigh;0
use;consume, spend;úsáid;0
use;exploit;úsáid;0
use;exploit;úsáid a bhaint as;0
use;take drugs;úsáid;0
use;take drugs;glac;0
use;take drugs;tóg;0
use;take drugs;drugaí a úsáid;0
use;take drugs;drugaí a ghlacadh;0
use;treat (sb) in particular way;caith le;0
wait;for sb/sth;fan;0
wait;until later;fan;0
wake;from sleep;dúisigh;0
wake;from sleep;múscail;0
wake;cause (feeling, memory);dúisigh;0
wake;cause (feeling, memory);múscail;0
wake;cause (feeling, memory);spreag;0
wake;hold vigil for (sb);tórraigh;0
wake;hold vigil for (sb);fair;0
walk;travel on foot;siúil;0
walk;accompany sb;siúil le;0
walk;lead animal;tabhair ag siúl;0
walk;pace (sth) out;siúil;0
walk;go missing;imigh;0
walk;go missing;téigh ar strae;0
walk;go missing;téigh ar iarraidh;0
walk;of ghost;bheith le feiceáil;0
walk;of ghost;bheith amuigh;0
wash;clean sth/sb;nigh;0
wash;clean yourself;tú féin a ní;0
wash;of waves, water;tar isteach;0
wash;coat with paint;leachtbhrataigh;0
wash;coat with paint;leachtbhrat a chur ar;0
wash;purify by separation;scag;0
wash;be accepted;bheith inchreidte;0
watch;look at sth/sb;féach ar;0
watch;look at sth/sb;breathnaigh ar;0
watch;look at sth/sb;amharc ar;0
watch;look at sth/sb;fair ar;0
watch;look at sth/sb;coimhéad ar;0
watch;look at sth/sb;féach;0
watch;look at sth/sb;breathnaigh;0
watch;look at sth/sb;amharc;0
watch;look at sth/sb;fair;0
watch;look at sth/sb;coimhéad;0
watch;as surveillance;fair ar;0
watch;as surveillance;coimhéad ar;0
watch;as surveillance;súil a choinneáil ar;0
watch;as surveillance;súil a choimeád ar;0
watch;situation;súil a choinneáil ar;0
watch;situation;breathnaigh ar;0
watch;situation;féach ar;0
watch;situation;coimhéad;0
watch;be wary of, careful about;súil a choinneáil ar;0
watch;be wary of, careful about;súil a choimeád ar;0
watch;be wary of, careful about;bheith cúramach faoi;0
watch;to prevent theft etc;súil a choinneáil ar;0
watch;to prevent theft etc;súil a choimeád ar;0
watch;to prevent theft etc;coimhéad;0
watch;take care of child;súil a choinneáil ar;0
watch;take care of child;aire a thabhairt do;0
watch;take care of child;súil a choimeád ar;0
watch;take care of child;amharc i ndiaidh;0
water;plants etc;uisce a chur ar;0
water;plants etc;uiscigh;0
wave;signal goodbye, hello;lámh a chroitheadh;0
wave;give hand signal;croith;0
wave;move (sth) in air;croith;0
wave;sway in air;bheith ar foluain;0
wave;sway in air;corraigh;0
wave;put curls in (hair);cataíl a chur i;0
wave;put curls in (hair);droimníní a chur i;0
wear;have on;caith;0
wear;put on;caith;0
wear;use;cuir ort;0
wear;damage through use;caith;0
wear;ship;tabhair thart faoin ngaoth;0
wear;accept;glac le;0
wear;have durability;caitheamh a bheith ann;0
work;labour, do job;oibrigh;0
work;labour, do job;bheith ag obair;0
work;make sb work;obair a bhaint as;0
work;be successful or effective;oibrigh;0
work;function, operate;oibrigh;0
work;function, operate;feidhmigh;0
work;operate sth;oibrigh;0
work;exploit (sth) commercially;saothraigh;0
work;operate in (place);saothraigh;0
work;strive, try;oibrigh;0
work;strive, try;bheith ag obair;0
work;solve;oibrigh amach;0
work;solve;réitigh;0
work;create, cause to happen;déan;0
work;paint, sculpt etc;oibrigh;0
work;paint, sculpt etc;saoirseacht a dhéanamh ar;0
work;craft, fashion (sth);oibrigh;0
work;craft, fashion (sth);saoirsigh;0
work;embroider (sth);bróidnigh;0
work;embroider (sth);fuaigh;0
work;knit (sth);cniotáil;0
work;rub, apply (sth);oibrigh;0
work;rub, apply (sth);cuimil;0
work;exercise (muscle etc);aclaigh;0
work;exercise (muscle etc);oibrigh;0
work;rouse;cuir le báiní;0
work;rouse;corraigh;0
work;(of face etc) move or twist with emotion;oibrigh;0
write;word, letter, etc;scríobh;0
write;letter;scríobh chuig;0
write;MUS compose;cum;0
write;MUS compose;scríobh;0
write;program etc;scríobh;0
write;store information;scríobh;0
write;pen: function;scríobh;0
write;correspond;scríobh;0
write;for publication;scríobh;0
